vehicle_manoeuvre,first_point_of_impact,engine_capacity_cc,propulsion_code,age_of_vehicle,accident_severity,number_of_casualties,road_type,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site
Overtaking static vehicle - offside,Nearside,998,Petrol,3,2,1,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,None
Going ahead other,Nearside,998,Petrol,1,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,1242,Petrol,2,2,1,Single carriageway,Daylight,Raining no high winds,Wet or Damp,None
Going ahead other,Did not impact,1499,Heavy oil,3,0,1,Single carriageway,Daylight,Fine + high winds,Dry,None
Waiting to go - held up,Back,1242,Petrol,5,2,1,Single carriageway,Daylight,Fine no high winds,Wet or Damp,None
Going ahead other,Front,998,Petrol,4,2,1,Dual carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,1560,Heavy oil,5,2,2,Single carriageway,Darkness - no lighting,Fine no high winds,Dry,None
Going ahead other,Front,998,Petrol,5,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,1242,Petrol,1,2,1,Dual carriageway,Daylight,Fine no high winds,Dry,None
Turning left,Front,1242,Petrol,1,1,1,Dual carriageway,Daylight,Fine no high winds,Dry,Roadworks
Turn right,Offside,998,Petrol,3,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Turn right,Front,998,Petrol,4,2,2,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or Damp,None
Turning left,Front,998,Petrol,1,2,2,Single carriageway,Daylight,Fine no high winds,Dry,None
Waiting to turn right,Back,998,Petrol,4,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Turn right,Front,1242,Petrol,4,1,2,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Back,998,Petrol,0,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Parked,Front,998,Petrol,1,2,2,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Back,1242,Petrol,3,2,2,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Back,998,Petrol,5,2,1,Dual carriageway,Daylight,Raining no high winds,Wet or Damp,None
Turn right,Offside,1242,Petrol,5,1,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Moving off,Nearside,1242,Petrol,3,2,1,Roundabout,Daylight,Fine no high winds,Dry,None
Reversing,Did not impact,1596,Petrol,5,2,2,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,None
Going ahead right-hand bend,Offside,1242,Petrol,5,2,1,Dual carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,998,Petrol,0,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,998,Petrol,2,2,3,Single carriageway,Daylight,Fine no high winds,Wet or Damp,None
Turn right,Offside,998,Petrol,3,2,1,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or Damp,None
Going ahead other,Front,1242,Petrol,5,1,1,Single carriageway,Darkness - no lighting,Fine no high winds,Dry,None
Slowing or stopping,Back,1242,Petrol,5,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,998,Petrol,4,2,4,Dual carriageway,Darkness - lights lit,Fine no high winds,Dry,None
Waiting to go - held up,Back,1242,Petrol,2,2,1,Roundabout,Daylight,Fine no high winds,Dry,None
Parked,Front,1242,Petrol,4,2,1,Single carriageway,Daylight,Raining no high winds,Wet or Damp,None
Parked,Front,998,Petrol,4,2,1,Single carriageway,Daylight,Raining no high winds,Wet or Damp,None
Going ahead other,Offside,998,Petrol,0,1,3,Single carriageway,Darkness - no lighting,Fine no high winds,Wet or Damp,None
Waiting to go - held up,Back,998,Petrol,1,2,2,Roundabout,Daylight,Fine no high winds,Dry,None
Going ahead other,Nearside,1596,Petrol,5,2,1,Single carriageway,Daylight,Fine no high winds,Wet or Damp,None
Slowing or stopping,Back,998,Petrol,1,1,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Turn right,Offside,998,Petrol,0,1,2,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Nearside,998,Petrol,1,1,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,1242,Petrol,4,1,4,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Offside,1242,Petrol,5,2,4,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,998,Petrol,4,2,3,Single carriageway,Daylight,Fine no high winds,Dry,None
Slowing or stopping,Back,998,Petrol,2,2,1,Dual carriageway,Daylight,Fine no high winds,Dry,None
Reversing,Front,1596,Petrol,3,2,2,One way street,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,998,Petrol,0,1,2,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Nearside,998,Petrol,4,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Turn right,Offside,1499,Heavy oil,2,2,1,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or Damp,None
Going ahead other,Back,998,Petrol,4,2,3,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Offside,998,Petrol,2,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Slowing or stopping,Front,998,Petrol,3,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Waiting to go - held up,Back,998,Petrol,5,2,4,Dual carriageway,Daylight,Fine no high winds,Dry,None
Turning left,Back,1242,Petrol,3,2,1,Single carriageway,Daylight,Raining no high winds,Wet or Damp,None
Turn right,Offside,998,Petrol,5,1,3,Single carriageway,Daylight,Fine no high winds,Dry,None
Parked,Offside,998,Petrol,1,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Overtaking static vehicle - offside,Offside,998,Petrol,4,2,1,Single carriageway,Darkness - no lighting,Fine no high winds,Wet or Damp,None
Turn right,Front,998,Petrol,3,2,4,Single carriageway,Daylight,Snowing no high winds,Snow,None
Slowing or stopping,Back,1242,Petrol,4,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,1242,Petrol,2,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Nearside,1242,Petrol,3,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Moving off,Front,1596,Petrol,4,2,2,Roundabout,Daylight,Fine no high winds,Dry,None
Going ahead other,Back,998,Petrol,3,2,2,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Nearside,1596,Petrol,4,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,998,Petrol,2,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Waiting to go - held up,Nearside,998,Petrol,0,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,1242,Petrol,4,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,998,Petrol,4,1,3,Single carriageway,Daylight,Fine no high winds,Dry,None
Turn right,Offside,998,Petrol,4,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Offside,1499,Heavy oil,5,1,1,Roundabout,Daylight,Fine no high winds,Dry,None
Going ahead other,Nearside,998,Petrol,1,2,3,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Nearside,1242,Petrol,3,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,998,Petrol,1,1,2,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,998,Petrol,5,2,1,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,None
Going ahead other,Front,1242,Petrol,4,2,1,Single carriageway,Darkness - no lighting,Raining + high winds,Wet or Damp,None
Waiting to go - held up,Back,1499,Heavy oil,4,2,2,Single carriageway,Daylight,Raining no high winds,Wet or Damp,Roadworks
Going ahead right-hand bend,Front,998,Petrol,2,0,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Slowing or stopping,Front,998,Petrol,2,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,998,Petrol,3,1,1,Dual carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,998,Petrol,4,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
